destination,state,region,lat,lon,vibe,emotion_tags,landscape,best_season,activities,nearby_attractions,description
Ram Janmabhoomi,Uttar Pradesh,North,26.79909,82.2047,interesting scenic engaging,interesting scenic engaging,Religious Site in Cold climate,October-March,"Sightseeing, Walking, Photography","Agra Fort, Dashashwamedh Ghat, Rumi Darwaza","Ram Janmabhoomi is a renowned religious site located in uttar pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.89 out of 5."
Banke Bihari Temple,Uttar Pradesh,North,27.58105,77.69662,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Jama Masjid, Sarnath Stupa, Kashi Vishwanath Temple","Banke Bihari Temple is a renowned temple located in uttar pradesh (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.028 out of 5."
Triveni Sangam,Uttar Pradesh,North,25.45,81.85,interesting scenic engaging,interesting scenic engaging,Confluence in Cold climate,October-March,"Sightseeing, Walking, Photography","Dashashwamedh Ghat, Taj Mahal, Mehtab Bagh","Triveni Sangam is a renowned confluence located in uttar pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.736 out of 5."
Jhansi Fort,Uttar Pradesh,North,25.5,78.5,historic majestic grand,historic majestic grand,Fort in Cold climate,October-March,"Heritage walk, Photography, Exploring","Dashashwamedh Ghat, Triveni Sangam, Bara Imambara","Jhansi Fort is a renowned fort located in uttar pradesh (North). Experiencing a cold climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.74 out of 5."
Dhamek Stupa,Uttar Pradesh,North,26.8467,80.9462,interesting scenic engaging,interesting scenic engaging,Monument in Cold climate,October-March,"Sightseeing, Walking, Photography","Ram Janmabhoomi, Taj Mahal, Bara Imambara","Dhamek Stupa is a renowned monument located in uttar pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.786 out of 5."
Buland Darwaza,Uttar Pradesh,North,27.0937,77.66003,interesting scenic engaging,interesting scenic engaging,Monument in Cold climate,October-March,"Sightseeing, Walking, Photography","Dashashwamedh Ghat, Kashi Vishwanath Temple, Taj Mahal","Buland Darwaza is a renowned monument located in uttar pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.668 out of 5."
Okhla Bird Sanctuary,Uttar Pradesh,North,28.58,77.33,interesting scenic engaging,interesting scenic engaging,Bird Sanctuary in Cold climate,October-March,"Sightseeing, Walking, Photography","Jama Masjid, Tomb of Akbar, Dashashwamedh Ghat","Okhla Bird Sanctuary is a renowned bird sanctuary located in uttar pradesh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.5939999999999994 out of 5."
Aligarh Fort,Uttar Pradesh,North,27.83333,78.16667,historic majestic grand,historic majestic grand,Fort in Cold climate,October-March,"Heritage walk, Photography, Exploring","Dashashwamedh Ghat, Sarnath Stupa, Ram Janmabhoomi","Aligarh Fort is a renowned fort located in uttar pradesh (North). Experiencing a cold climate, it offers a historic majestic grand atmosphere. It is well-suited for a low budget and holds a popularity score of 2.4666 out of 5."
Augarnath Temple,Uttar Pradesh,North,28.91667,77.68333,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Triveni Sangam, Bara Imambara, Mehtab Bagh","Augarnath Temple is a renowned temple located in uttar pradesh (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.898 out of 5."
Allen Forest Zoo,Uttar Pradesh,North,26.46523,80.34975,wildlife nature family-friendly,wildlife nature family-friendly,Zoo in Cold climate,October-March,"Wildlife viewing, Walking, Photography","Kashi Vishwanath Temple, Mehtab Bagh, Tomb of Akbar","Allen Forest Zoo is a renowned zoo located in uttar pradesh (North). Experiencing a cold climate, it offers a wildlife nature family-friendly atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.604 out of 5."
Dal Lake,Jammu And Kashmir,North,34.08565,74.80555,interesting scenic engaging,interesting scenic engaging,Lake in Cold climate,October-March,"Sightseeing, Walking, Photography","Old City Quarters, Botanical Gardens, Local Heritage Museum","Dal Lake is a renowned lake located in jammu and kashmir (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.82 out of 5."
Pangong Tso,Ladakh,North,34.16504,77.58402,interesting scenic engaging,interesting scenic engaging,Lake in Cold climate,October-March,"Sightseeing, Walking, Photography","City Central Park, Botanical Gardens, Handicraft Markets","Pangong Tso is a renowned lake located in ladakh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 3.0 out of 5."
Betaab Valley,Jammu And Kashmir,North,34.01592,75.31899,interesting scenic engaging,interesting scenic engaging,Valley in Cold climate,October-March,"Sightseeing, Walking, Photography","Handicraft Markets, Spiritual Centers, Local Heritage Museum","Betaab Valley is a renowned valley located in jammu and kashmir (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.804 out of 5."
Vaishno Devi,Jammu And Kashmir,North,32.75,74.83333,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Old City Quarters, Local Heritage Museum, Traditional Bazaars","Vaishno Devi is a renowned temple located in jammu and kashmir (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.04 out of 5."
Patnitop Height,Jammu And Kashmir,North,33.0,75.16667,interesting scenic engaging,interesting scenic engaging,Hill in Cold climate,October-March,"Sightseeing, Walking, Photography","Old City Quarters, City Central Park, Botanical Gardens","Patnitop Height is a renowned hill located in jammu and kashmir (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.4639999999999995 out of 5."
Amarnath Cave,Jammu And Kashmir,North,33.73068,75.15418,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","City Central Park, Local Heritage Museum, Regional Art Gallery","Amarnath Cave is a renowned temple located in jammu and kashmir (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 2.744 out of 5."
Thiksey Monastery,Ladakh,North,34.16504,77.58402,interesting scenic engaging,interesting scenic engaging,Monastery in Cold climate,October-March,"Sightseeing, Walking, Photography","Old City Quarters, Street Food Alleys, Historical Monuments","Thiksey Monastery is a renowned monastery located in ladakh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.84 out of 5."
Nubra Valley,Ladakh,North,34.1526,77.577,interesting scenic engaging,interesting scenic engaging,Valley in Cold climate,October-March,"Sightseeing, Walking, Photography","Botanical Gardens, Street Food Alleys, Spiritual Centers","Nubra Valley is a renowned valley located in ladakh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.74 out of 5."
Kargil War Memorial,Ladakh,North,34.55765,76.12622,reflective patriotic historic,reflective patriotic historic,War Memorial in Cold climate,October-March,"Sightseeing, Photography, Walking","Old City Quarters, Regional Art Gallery, Handicraft Markets","Kargil War Memorial is a renowned war memorial located in ladakh (North). Experiencing a cold climate, it offers a reflective patriotic historic atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8844 out of 5."
Diskit Monastery,Ladakh,North,34.1526,77.577,interesting scenic engaging,interesting scenic engaging,Monastery in Cold climate,October-March,"Sightseeing, Walking, Photography","Regional Art Gallery, Traditional Bazaars, Botanical Gardens","Diskit Monastery is a renowned monastery located in ladakh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.826 out of 5."
Kishtwar National Park,Jammu And Kashmir,North,33.52958,76.01462,wildlife adventurous green,wildlife adventurous green,National Park in Cold climate,October-March,"Sightseeing, Walking, Photography","Local Heritage Museum, Spiritual Centers, Handicraft Markets","Kishtwar National Park is a renowned national park located in jammu and kashmir (North). Experiencing a cold climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a medium budget and holds a popularity score of 2.584 out of 5."
Hemis National Park,Ladakh,North,34.1526,77.577,wildlife adventurous green,wildlife adventurous green,National Park in Cold climate,October-March,"Sightseeing, Walking, Photography","Street Food Alleys, Historical Monuments, Traditional Bazaars","Hemis National Park is a renowned national park located in ladakh (North). Experiencing a cold climate, it offers a wildlife adventurous green atmosphere. It is well-suited for a low budget and holds a popularity score of 2.648 out of 5."
Dras War Memorial,Ladakh,North,34.1526,77.577,reflective patriotic historic,reflective patriotic historic,War Memorial in Cold climate,October-March,"Sightseeing, Photography, Walking","Local Heritage Museum, Handicraft Markets, Historical Monuments","Dras War Memorial is a renowned war memorial located in ladakh (North). Experiencing a cold climate, it offers a reflective patriotic historic atmosphere. It is well-suited for a low budget and holds a popularity score of 2.8848 out of 5."
Magnetic Hill,Ladakh,North,34.16504,77.58402,interesting scenic engaging,interesting scenic engaging,Gravity Hill in Cold climate,October-March,"Sightseeing, Walking, Photography","Historical Monuments, Local Heritage Museum, City Central Park","Magnetic Hill is a renowned gravity hill located in ladakh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.26 out of 5."
Khardung La Pass,Ladakh,North,34.16504,77.58402,interesting scenic engaging,interesting scenic engaging,Hill in Cold climate,October-March,"Sightseeing, Walking, Photography","Historical Monuments, City Central Park, Botanical Gardens","Khardung La Pass is a renowned hill located in ladakh (North). Experiencing a cold climate, it offers a interesting scenic engaging atmosphere. It is well-suited for a low budget and holds a popularity score of 2.72 out of 5."
Prem Mandir,Uttar Pradesh,North,27.58105,77.69662,spiritual calm devoted peaceful,spiritual calm devoted peaceful,Temple in Cold climate,October-March,"Praying, Meditation, Sightseeing","Ram Janmabhoomi, Tomb of Akbar, Jama Masjid","Prem Mandir is a renowned temple located in uttar pradesh (North). Experiencing a cold climate, it offers a spiritual calm devoted peaceful atmosphere. It is well-suited for a low budget and holds a popularity score of 3.076 out of 5."
